source_origin_time,source_end_time,source_magnitude,p_arrival_sample,s_arrival_sample,snr,waveform_index,station
2018-01-31T02:00:31.880000Z,2018-01-31T02:01:31.880000Z,4.98,3175,None,0.8199999928474426,0,BBJI
2018-01-31T02:00:31.880000Z,2018-01-31T02:01:31.880000Z,4.98,2030,None,0.3700000047683716,1,BKB
2018-01-31T02:00:31.880000Z,2018-01-31T02:01:31.880000Z,4.98,None,None,0.0,2,BKNI
2018-01-31T02:00:31.880000Z,2018-01-31T02:01:31.880000Z,4.98,None,None,0.0,3,BNDI
2018-01-31T02:00:31.880000Z,2018-01-31T02:01:31.880000Z,4.98,3999,None,-0.029999999329447746,4,FAKI
2018-01-31T02:00:31.880000Z,2018-01-31T02:01:31.880000Z,4.98,6120,None,0.25,5,GSI
2018-01-31T02:00:31.880000Z,2018-01-31T02:01:31.880000Z,4.98,1382,None,0.20999999344348907,6,JAGI
2018-01-31T02:00:31.880000Z,2018-01-31T02:01:31.880000Z,4.98,None,None,0.0,7,LHMI
2018-01-31T02:00:31.880000Z,2018-01-31T02:01:31.880000Z,4.98,2296,None,-0.6800000071525574,8,LUWI
2018-01-31T02:00:31.880000Z,2018-01-31T02:01:31.880000Z,4.98,1079,None,-0.8500000238418579,9,MMRI
2018-01-31T02:00:31.880000Z,2018-01-31T02:01:31.880000Z,4.98,501,None,3.0799999237060547,10,PLAI
2018-01-31T02:00:31.880000Z,2018-01-31T02:01:31.880000Z,4.98,None,None,0.0,11,PMBI
2018-01-31T02:00:31.880000Z,2018-01-31T02:01:31.880000Z,4.98,2671,None,-0.20000000298023224,12,SANI
2018-01-31T02:00:31.880000Z,2018-01-31T02:01:31.880000Z,4.98,None,None,0.0,13,SAUI
2018-01-31T02:00:31.880000Z,2018-01-31T02:01:31.880000Z,4.98,2402,None,-0.5600000023841858,14,SMRI
2018-01-31T02:00:31.880000Z,2018-01-31T02:01:31.880000Z,4.98,1724,None,0.550000011920929,15,SOEI
2018-01-31T02:00:31.880000Z,2018-01-31T02:01:31.880000Z,4.98,None,None,0.0,16,TNTI
2018-01-31T02:00:31.880000Z,2018-01-31T02:01:31.880000Z,4.98,None,None,0.0,17,TOLI2
2018-01-31T02:00:31.880000Z,2018-01-31T02:01:31.880000Z,4.98,None,None,0.0,18,UGM
2018-01-31T00:55:34.250000Z,2018-01-31T00:56:34.250000Z,5.08,None,None,0.0,19,BBJI
2018-01-31T00:55:34.250000Z,2018-01-31T00:56:34.250000Z,5.08,None,None,0.0,20,BKB
2018-01-31T00:55:34.250000Z,2018-01-31T00:56:34.250000Z,5.08,None,None,0.0,21,BKNI
2018-01-31T00:55:34.250000Z,2018-01-31T00:56:34.250000Z,5.08,None,None,0.0,22,BNDI
2018-01-31T00:55:34.250000Z,2018-01-31T00:56:34.250000Z,5.08,None,None,0.0,23,FAKI
2018-01-31T00:55:34.250000Z,2018-01-31T00:56:34.250000Z,5.08,None,None,0.0,24,GSI
2018-01-31T00:55:34.250000Z,2018-01-31T00:56:34.250000Z,5.08,1386,None,0.5099999904632568,25,JAGI
2018-01-31T00:55:34.250000Z,2018-01-31T00:56:34.250000Z,5.08,None,None,0.0,26,LHMI
2018-01-31T00:55:34.250000Z,2018-01-31T00:56:34.250000Z,5.08,2279,None,0.11999999731779099,27,LUWI
2018-01-31T00:55:34.250000Z,2018-01-31T00:56:34.250000Z,5.08,1076,None,2.069999933242798,28,MMRI
2018-01-31T00:55:34.250000Z,2018-01-31T00:56:34.250000Z,5.08,498,None,3.0,29,PLAI
2018-01-31T00:55:34.250000Z,2018-01-31T00:56:34.250000Z,5.08,None,None,0.0,30,PMBI
2018-01-31T00:55:34.250000Z,2018-01-31T00:56:34.250000Z,5.08,None,None,0.0,31,SANI
2018-01-31T00:55:34.250000Z,2018-01-31T00:56:34.250000Z,5.08,None,None,0.0,32,SAUI
2018-01-31T00:55:34.250000Z,2018-01-31T00:56:34.250000Z,5.08,None,None,0.0,33,SMRI
2018-01-31T00:55:34.250000Z,2018-01-31T00:56:34.250000Z,5.08,1741,None,0.4000000059604645,34,SOEI
2018-01-31T00:55:34.250000Z,2018-01-31T00:56:34.250000Z,5.08,None,None,0.0,35,TNTI
2018-01-31T00:55:34.250000Z,2018-01-31T00:56:34.250000Z,5.08,2638,None,0.33000001311302185,36,TOLI2
2018-01-31T00:55:34.250000Z,2018-01-31T00:56:34.250000Z,5.08,None,None,0.0,37,UGM
2018-01-29T06:35:40.850000Z,2018-01-29T06:36:40.850000Z,4.24,762,None,-0.07999999821186066,38,BBJI
2018-01-29T06:35:40.850000Z,2018-01-29T06:36:40.850000Z,4.24,None,None,0.0,39,BKB
2018-01-29T06:35:40.850000Z,2018-01-29T06:36:40.850000Z,4.24,2292,None,0.30000001192092896,40,BKNI
2018-01-29T06:35:40.850000Z,2018-01-29T06:36:40.850000Z,4.24,None,None,0.0,41,BNDI
2018-01-29T06:35:40.850000Z,2018-01-29T06:36:40.850000Z,4.24,None,None,0.0,42,FAKI
2018-01-29T06:35:40.850000Z,2018-01-29T06:36:40.850000Z,4.24,3026,None,0.38999998569488525,43,GSI
2018-01-29T06:35:40.850000Z,2018-01-29T06:36:40.850000Z,4.24,2483,None,-0.6700000166893005,44,JAGI
2018-01-29T06:35:40.850000Z,2018-01-29T06:36:40.850000Z,4.24,None,None,0.0,45,LHMI
2018-01-29T06:35:40.850000Z,2018-01-29T06:36:40.850000Z,4.24,None,None,0.0,46,LUWI
2018-01-29T06:35:40.850000Z,2018-01-29T06:36:40.850000Z,4.24,None,None,0.0,47,MMRI
2018-01-29T06:35:40.850000Z,2018-01-29T06:36:40.850000Z,4.24,3412,None,-0.07999999821186066,48,PLAI
2018-01-29T06:35:40.850000Z,2018-01-29T06:36:40.850000Z,4.24,None,None,0.0,49,PMBI
2018-01-29T06:35:40.850000Z,2018-01-29T06:36:40.850000Z,4.24,None,None,0.0,50,SANI
2018-01-29T06:35:40.850000Z,2018-01-29T06:36:40.850000Z,4.24,None,None,0.0,51,SAUI
2018-01-29T06:35:40.850000Z,2018-01-29T06:36:40.850000Z,4.24,1466,None,1.5800000429153442,52,SMRI
2018-01-29T06:35:40.850000Z,2018-01-29T06:36:40.850000Z,4.24,None,None,0.0,53,SOEI
2018-01-29T06:35:40.850000Z,2018-01-29T06:36:40.850000Z,4.24,None,None,0.0,54,TNTI
2018-01-29T06:35:40.850000Z,2018-01-29T06:36:40.850000Z,4.24,4647,None,-0.019999999552965164,55,TOLI2
2018-01-29T06:35:40.850000Z,2018-01-29T06:36:40.850000Z,4.24,1527,None,-1.940000057220459,56,UGM
2018-01-28T02:18:09.200000Z,2018-01-28T02:19:09.200000Z,5.21,None,None,0.0,57,BBJI
2018-01-28T02:18:09.200000Z,2018-01-28T02:19:09.200000Z,5.21,None,None,0.0,58,BKB
2018-01-28T02:18:09.200000Z,2018-01-28T02:19:09.200000Z,5.21,None,None,0.0,59,BKNI
2018-01-28T02:18:09.200000Z,2018-01-28T02:19:09.200000Z,5.21,None,None,0.0,60,BNDI
2018-01-28T02:18:09.200000Z,2018-01-28T02:19:09.200000Z,5.21,None,None,0.0,61,FAKI
2018-01-28T02:18:09.200000Z,2018-01-28T02:19:09.200000Z,5.21,7347,None,0.550000011920929,62,GSI
